contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
3 - 8,-0.017802607862678357,0.14524418160512345,90,-0.12257019638196905,0.9999999982369339,family,metabolism_per_area_mm2_measurement
3 - 9,-0.24658385420794418,0.1452441816051235,90,-1.6977193267426962,0.7463174140517873,family,metabolism_per_area_mm2_measurement
3 - 9b,-0.3313244082903444,0.1452441816051235,90,-2.2811544299317865,0.36449600803834037,family,metabolism_per_area_mm2_measurement
5 - 6,0.38796712590658544,0.1452441816051234,90,2.671137126589725,0.17323903605572177,family,metabolism_per_area_mm2_measurement
5 - 7,0.4157580279888159,0.1452441816051234,90,2.8624763029691667,0.11216162442947031,family,metabolism_per_area_mm2_measurement
5 - 8,0.18730566472565874,0.14524418160512337,90,1.2895915186116598,0.9318978910537985,family,metabolism_per_area_mm2_measurement
5 - 9,-0.041475581619607085,0.14524418160512342,90,-0.28555761174906885,0.9999985571344803,family,metabolism_per_area_mm2_measurement
5 - 9b,-0.12621613570200724,0.14524418160512345,90,-0.868992714938159,0.9940325827205106,family,metabolism_per_area_mm2_measurement
6 - 7,0.02779090208223045,0.1452441816051234,90,0.19133917637944228,0.9999999390001777,family,metabolism_per_area_mm2_measurement
6 - 8,-0.2006614611809267,0.14524418160512337,90,-1.3815456079780655,0.9018872403635099,family,metabolism_per_area_mm2_measurement
6 - 9,-0.4294427075261925,0.14524418160512342,90,-2.956694738338793,0.08915441772688182,family,metabolism_per_area_mm2_measurement
6 - 9b,-0.5141832616085927,0.14524418160512345,90,-3.540129841527883,0.017567535220396446,family,metabolism_per_area_mm2_measurement
7 - 8,-0.22845236326315715,0.14524418160512345,90,-1.572884784357507,0.8167492005250525,family,metabolism_per_area_mm2_measurement
7 - 9,-0.45723360960842296,0.14524418160512348,90,-3.148033914718234,0.054305590777828705,family,metabolism_per_area_mm2_measurement
7 - 9b,-0.5419741636908232,0.14524418160512348,90,-3.731469017907324,0.00964041110644065,family,metabolism_per_area_mm2_measurement
8 - 9,-0.2287812463452658,0.14524418160512348,90,-1.5751491303607275,0.8155668607374815,family,metabolism_per_area_mm2_measurement
8 - 9b,-0.313521800427666,0.14524418160512348,90,-2.1585842335498175,0.44131536667608684,family,metabolism_per_area_mm2_measurement
9 - 9b,-0.08474055408240017,0.14524418160512348,90,-0.5834351031890902,0.9996502567126242,family,metabolism_per_area_mm2_measurement
