plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,exclude_from_analysis,exclude_reason,weight_g.measurement,width_mm.measurement,length_mm.measurement,treatment.group,area_mm2.measurement,imageJ_ID
plate-G,C02,FALSE,9b,82,FALSE,,,,,,135.981,10
plate-G,C03,FALSE,9b,83,FALSE,,,,,,283.174,9
plate-G,C04,TRUE,,,FALSE,,,,,,,
plate-H,A01,FALSE,3,85,FALSE,,,,,,91.671,1
plate-H,A02,FALSE,3,86,FALSE,,,,,,183.484,2
plate-H,A03,FALSE,3,87,FALSE,,,,,,164.498,4
plate-H,A04,FALSE,3,88,FALSE,,,,,,169.593,3
plate-H,B01,FALSE,3,89,FALSE,,,,,,114.56,5
plate-H,B02,FALSE,3,90,FALSE,,,,,,137.787,8
plate-H,B03,FALSE,3,91,FALSE,,,,,,103.789,6
plate-H,B04,FALSE,3,92,FALSE,,,,,,147.754,7
plate-H,C01,FALSE,3,93,FALSE,,,,,,193.123,9
plate-H,C02,FALSE,3,94,FALSE,,,,,,147.665,10
plate-H,C03,FALSE,3,95,FALSE,,,,,,254.805,11
plate-H,C04,TRUE,,,FALSE,,,,,,,
plate-I,A01,FALSE,1,97,FALSE,,,,,,223.427,1
plate-I,A02,FALSE,1,98,FALSE,,,,,,143.907,2
plate-I,A03,FALSE,1,99,FALSE,,,,,,120.75,4
plate-I,A04,FALSE,1,100,FALSE,,,,,,139.16,3
plate-I,B01,FALSE,1,101,FALSE,,,,,,213.387,7
plate-I,B02,FALSE,1,102,FALSE,,,,,,124.184,8
plate-I,B03,FALSE,1,103,FALSE,,,,,,165.182,5
plate-I,B04,FALSE,1,104,FALSE,,,,,,141.079,6
plate-I,C01,FALSE,1,105,FALSE,,,,,,168.036,9
plate-I,C02,FALSE,1,106,FALSE,,,,,,201.238,10
plate-I,C03,FALSE,1,107,FALSE,,,,,,112.797,11
plate-I,C04,TRUE,,,FALSE,,,,,,,
