row_id,col_id,well_id,value,plate_id,time_hr,is_blank,exclude_from_analysis,exclude_reason,family_id_group,sample_id_group,treatment_group,width_mm_measurement,length_mm_measurement,weight_mg_measurement,area_mm2_measurement,sample_key,value_t0,fold_change,trace_id,mean_blank_rfu,mean_blank_fc,corrected_fc,metabolism_per_area_mm2_measurement
C,4,C4,590,a,0,FALSE,FALSE,NA,9,28,NA,NA,NA,NA,319.988,28,590,1,28,663.3333333333334,1,0,0
C,5,C5,533,a,0,FALSE,FALSE,NA,7,29,NA,NA,NA,NA,744.806,29,533,1,29,663.3333333333334,1,0,0
C,6,C6,596,a,0,FALSE,FALSE,NA,5,30,NA,NA,NA,NA,849.49,30,596,1,30,663.3333333333334,1,0,0
C,7,C7,626,a,0,FALSE,FALSE,NA,1,31,NA,NA,NA,NA,1116.156,31,626,1,31,663.3333333333334,1,0,0
C,8,C8,587,a,0,FALSE,FALSE,NA,9,32,NA,NA,NA,NA,380.027,32,587,1,32,663.3333333333334,1,0,0
C,9,C9,608,a,0,FALSE,FALSE,NA,7,33,NA,NA,NA,NA,595.1,33,608,1,33,663.3333333333334,1,0,0
C,10,C10,647,a,0,FALSE,FALSE,NA,5,34,NA,NA,NA,NA,1678.501,34,647,1,34,663.3333333333334,1,0,0
C,11,C11,604,a,0,FALSE,FALSE,NA,1,35,NA,NA,NA,NA,805.062,35,604,1,35,663.3333333333334,1,0,0
C,12,C12,555,a,0,FALSE,FALSE,NA,9,36,NA,NA,NA,NA,550.387,36,555,1,36,663.3333333333334,1,0,0
D,1,D1,573,a,0,FALSE,FALSE,NA,7,37,NA,NA,NA,NA,527.424,37,573,1,37,663.3333333333334,1,0,0
D,2,D2,630,a,0,FALSE,FALSE,NA,5,38,NA,NA,NA,NA,455.74,38,630,1,38,663.3333333333334,1,0,0
D,3,D3,629,a,0,FALSE,FALSE,NA,1,39,NA,NA,NA,NA,1076.625,39,629,1,39,663.3333333333334,1,0,0
D,4,D4,627,a,0,FALSE,FALSE,NA,9,40,NA,NA,NA,NA,591.642,40,627,1,40,663.3333333333334,1,0,0
D,5,D5,614,a,0,FALSE,FALSE,NA,7,41,NA,NA,NA,NA,861.6,41,614,1,41,663.3333333333334,1,0,0
D,6,D6,641,a,0,FALSE,FALSE,NA,5,42,NA,NA,NA,NA,579.308,42,641,1,42,663.3333333333334,1,0,0
D,7,D7,636,a,0,FALSE,FALSE,NA,1,43,NA,NA,NA,NA,748.875,43,636,1,43,663.3333333333334,1,0,0
D,8,D8,630,a,0,FALSE,FALSE,NA,9,44,NA,NA,NA,NA,458.09,44,630,1,44,663.3333333333334,1,0,0
D,9,D9,640,a,0,FALSE,FALSE,NA,7,45,NA,NA,NA,NA,985.197,45,640,1,45,663.3333333333334,1,0,0
D,10,D10,647,a,0,FALSE,FALSE,NA,5,46,NA,NA,NA,NA,1001.644,46,647,1,46,663.3333333333334,1,0,0
D,11,D11,644,a,0,FALSE,FALSE,NA,1,47,NA,NA,NA,NA,602.859,47,644,1,47,663.3333333333334,1,0,0
D,12,D12,629,a,0,FALSE,FALSE,NA,9,48,NA,NA,NA,NA,784.503,48,629,1,48,663.3333333333334,1,0,0
E,1,E1,630,a,0,FALSE,FALSE,NA,7,49,NA,NA,NA,NA,914.647,49,630,1,49,663.3333333333334,1,0,0
E,2,E2,636,a,0,FALSE,FALSE,NA,5,50,NA,NA,NA,NA,729.337,50,636,1,50,663.3333333333334,1,0,0
E,3,E3,625,a,0,FALSE,FALSE,NA,1,51,NA,NA,NA,NA,631.875,51,625,1,51,663.3333333333334,1,0,0
E,4,E4,635,a,0,FALSE,FALSE,NA,9,52,NA,NA,NA,NA,611.228,52,635,1,52,663.3333333333334,1,0,0
E,5,E5,637,a,0,FALSE,FALSE,NA,7,53,NA,NA,NA,NA,1083.76,53,637,1,53,663.3333333333334,1,0,0
E,6,E6,628,a,0,FALSE,FALSE,NA,5,54,NA,NA,NA,NA,1028.912,54,628,1,54,663.3333333333334,1,0,0
E,7,E7,650,a,0,FALSE,FALSE,NA,1,55,NA,NA,NA,NA,535.812,55,650,1,55,663.3333333333334,1,0,0
E,8,E8,644,a,0,FALSE,FALSE,NA,9,56,NA,NA,NA,NA,693.62,56,644,1,56,663.3333333333334,1,0,0
E,9,E9,664,a,0,FALSE,FALSE,NA,7,57,NA,NA,NA,NA,440.409,57,664,1,57,663.3333333333334,1,0,0
E,10,E10,678,a,0,FALSE,FALSE,NA,5,58,NA,NA,NA,NA,1050.694,58,678,1,58,663.3333333333334,1,0,0
E,11,E11,619,a,0,FALSE,FALSE,NA,1,59,NA,NA,NA,NA,1167.531,59,619,1,59,663.3333333333334,1,0,0
E,12,E12,648,a,0,FALSE,FALSE,NA,9,60,NA,NA,NA,NA,1064.247,60,648,1,60,663.3333333333334,1,0,0
F,1,F1,626,a,0,FALSE,FALSE,NA,7,61,NA,NA,NA,NA,1120.343,61,626,1,61,663.3333333333334,1,0,0
F,2,F2,604,a,0,FALSE,FALSE,NA,5,62,NA,NA,NA,NA,1540.816,62,604,1,62,663.3333333333334,1,0,0
F,3,F3,640,a,0,FALSE,FALSE,NA,1,63,NA,NA,NA,NA,553.266,63,640,1,63,663.3333333333334,1,0,0
F,4,F4,632,a,0,FALSE,FALSE,NA,9,64,NA,NA,NA,NA,756.544,64,632,1,64,663.3333333333334,1,0,0
F,5,F5,622,a,0,FALSE,FALSE,NA,7,65,NA,NA,NA,NA,999.931,65,622,1,65,663.3333333333334,1,0,0
F,6,F6,651,a,0,FALSE,FALSE,NA,5,66,NA,NA,NA,NA,729.634,66,651,1,66,663.3333333333334,1,0,0
F,7,F7,624,a,0,FALSE,FALSE,NA,1,67,NA,NA,NA,NA,276.656,67,624,1,67,663.3333333333334,1,0,0
F,8,F8,629,a,0,FALSE,FALSE,NA,9,68,NA,NA,NA,NA,680.86,68,629,1,68,663.3333333333334,1,0,0
F,9,F9,664,a,0,FALSE,FALSE,NA,7,69,NA,NA,NA,NA,597.109,69,664,1,69,663.3333333333334,1,0,0
F,12,F12,660,a,0,FALSE,FALSE,NA,9,72,NA,NA,NA,NA,724.346,72,660,1,72,663.3333333333334,1,0,0
G,1,G1,652,a,0,FALSE,FALSE,NA,7,73,NA,NA,NA,NA,709.782,73,652,1,73,663.3333333333334,1,0,0
G,2,G2,555,a,0,FALSE,FALSE,NA,5,74,NA,NA,NA,NA,640.391,74,555,1,74,663.3333333333334,1,0,0
G,3,G3,657,a,0,FALSE,FALSE,NA,1,75,NA,NA,NA,NA,437.688,75,657,1,75,663.3333333333334,1,0,0
G,4,G4,671,a,0,FALSE,FALSE,NA,9,76,NA,NA,NA,NA,350.372,76,671,1,76,663.3333333333334,1,0,0
G,5,G5,697,a,0,FALSE,FALSE,NA,7,77,NA,NA,NA,NA,518.023,77,697,1,77,663.3333333333334,1,0,0
G,6,G6,666,a,0,FALSE,FALSE,NA,5,78,NA,NA,NA,NA,1108.121,78,666,1,78,663.3333333333334,1,0,0
G,7,G7,674,a,0,FALSE,FALSE,NA,1,79,NA,NA,NA,NA,549.469,79,674,1,79,663.3333333333334,1,0,0
G,8,G8,673,a,0,FALSE,FALSE,NA,9,80,NA,NA,NA,NA,499.881,80,673,1,80,663.3333333333334,1,0,0
G,12,G12,1,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_G12,1,1,a_G12,663.3333333333334,1,0,NA
H,1,H1,1,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H1,1,1,a_H1,663.3333333333334,1,0,NA
H,2,H2,1,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H2,1,1,a_H2,663.3333333333334,1,0,NA
H,3,H3,1,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H3,1,1,a_H3,663.3333333333334,1,0,NA
H,4,H4,1,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H4,1,1,a_H4,663.3333333333334,1,0,NA
H,5,H5,1,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H5,1,1,a_H5,663.3333333333334,1,0,NA
H,6,H6,1,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H6,1,1,a_H6,663.3333333333334,1,0,NA
H,7,H7,0,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H7,0,NA,a_H7,663.3333333333334,1,NA,NA
H,8,H8,1,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H8,1,1,a_H8,663.3333333333334,1,0,NA
H,9,H9,1,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H9,1,1,a_H9,663.3333333333334,1,0,NA
H,10,H10,0,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H10,0,NA,a_H10,663.3333333333334,1,NA,NA
H,11,H11,1,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H11,1,1,a_H11,663.3333333333334,1,0,NA
H,12,H12,2,a,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,a_H12,2,1,a_H12,663.3333333333334,1,0,NA
A,1,A1,3238,a,2.5,FALSE,FALSE,NA,7,1,NA,NA,NA,NA,537.864,1,596,5.432885906040268,1,730.6666666666666,1.101507537688442,4.331378368351826,0.008052924844108968
A,2,A2,1350,a,2.5,FALSE,FALSE,NA,5,2,NA,NA,NA,NA,585.502,2,597,2.2613065326633164,2,730.6666666666666,1.101507537688442,1.1597989949748744,0.001980862567463261
A,3,A3,6510,a,2.5,FALSE,FALSE,NA,1,3,NA,NA,NA,NA,713.266,3,605,10.760330578512397,3,730.6666666666666,1.101507537688442,9.658823040823954,0.013541684365754087
A,4,A4,6933,a,2.5,FALSE,FALSE,NA,9,4,NA,NA,NA,NA,757.481,4,613,11.309951060358891,4,730.6666666666666,1.101507537688442,10.20844352267045,0.01347683113196298
A,5,A5,7043,a,2.5,FALSE,FALSE,NA,7,5,NA,NA,NA,NA,822.542,5,601,11.718801996672212,5,730.6666666666666,1.101507537688442,10.617294458983771,0.012907905564680917
A,6,A6,1729,a,2.5,FALSE,FALSE,NA,5,6,NA,NA,NA,NA,680.527,6,626,2.7619808306709266,6,730.6666666666666,1.101507537688442,1.6604732929824846,0.0024399815040145128
A,7,A7,5853,a,2.5,FALSE,FALSE,NA,1,7,NA,NA,NA,NA,348.031,7,626,9.349840255591054,7,730.6666666666666,1.101507537688442,8.248332717902613,0.023699994304825184
A,8,A8,3133,a,2.5,FALSE,FALSE,NA,9,8,NA,NA,NA,NA,337.656,8,626,5.00479233226837,8,730.6666666666666,1.101507537688442,3.9032847945799283,0.01155994501676241
A,9,A9,11359,a,2.5,FALSE,FALSE,NA,7,9,NA,NA,NA,NA,548.788,9,610,18.621311475409836,9,730.6666666666666,1.101507537688442,17.519803937721395,0.0319245390528244
A,10,A10,6697,a,2.5,FALSE,FALSE,NA,5,10,NA,NA,NA,NA,337.202,10,636,10.529874213836479,10,730.6666666666666,1.101507537688442,9.428366676148038,0.02796058942754799
A,11,A11,5582,a,2.5,FALSE,FALSE,NA,1,11,NA,NA,NA,NA,486.344,11,611,9.135842880523732,11,730.6666666666666,1.101507537688442,8.034335342835291,0.016519861132933255
A,12,A12,2067,a,2.5,FALSE,FALSE,NA,9,12,NA,NA,NA,NA,549.286,12,628,3.2914012738853504,12,730.6666666666666,1.101507537688442,2.1898937361969084,0.003986800566912152
B,1,B1,6754,a,2.5,FALSE,FALSE,NA,7,13,NA,NA,NA,NA,609.834,13,592,11.408783783783784,13,730.6666666666666,1.101507537688442,10.307276246095341,0.0169017736729919
B,2,B2,10332,a,2.5,FALSE,FALSE,NA,5,14,NA,NA,NA,NA,1497.761,14,594,17.393939393939394,14,730.6666666666666,1.101507537688442,16.292431856250953,0.010877858253920989
B,3,B3,8656,a,2.5,FALSE,FALSE,NA,1,15,NA,NA,NA,NA,617.719,15,608,14.236842105263158,15,730.6666666666666,1.101507537688442,13.135334567574716,0.021264255377566037
B,4,B4,5540,a,2.5,FALSE,FALSE,NA,9,16,NA,NA,NA,NA,444.111,16,600,9.233333333333333,16,730.6666666666666,1.101507537688442,8.13182579564489,0.018310345376819963
B,5,B5,8003,a,2.5,FALSE,FALSE,NA,7,17,NA,NA,NA,NA,577.337,17,606,13.206270627062706,17,730.6666666666666,1.101507537688442,12.104763089374263,0.02096654655664588
B,6,B6,6721,a,2.5,FALSE,FALSE,NA,5,18,NA,NA,NA,NA,570.507,18,604,11.12748344370861,18,730.6666666666666,1.101507537688442,10.025975906020168,0.017573799981455387
B,7,B7,5380,a,2.5,FALSE,FALSE,NA,1,19,NA,NA,NA,NA,382.516,19,631,8.526148969889064,19,730.6666666666666,1.101507537688442,7.424641432200622,0.019410015351516333
B,8,B8,2085,a,2.5,FALSE,FALSE,NA,9,20,NA,NA,NA,NA,1026.829,20,608,3.429276315789474,20,730.6666666666666,1.101507537688442,2.327768778101032,0.0022669488085173208
B,9,B9,6141,a,2.5,FALSE,FALSE,NA,7,21,NA,NA,NA,NA,504.986,21,596,10.303691275167786,21,730.6666666666666,1.101507537688442,9.202183737479345,0.01822265119722001
B,10,B10,6923,a,2.5,FALSE,FALSE,NA,5,22,NA,NA,NA,NA,1199.943,22,610,11.349180327868853,22,730.6666666666666,1.101507537688442,10.24767279018041,0.00854013298146696
B,11,B11,7356,a,2.5,FALSE,FALSE,NA,1,23,NA,NA,NA,NA,460.406,23,607,12.118616144975288,23,730.6666666666666,1.101507537688442,11.017108607286847,0.023929116056886416
B,12,B12,3171,a,2.5,FALSE,FALSE,NA,9,24,NA,NA,NA,NA,187.493,24,596,5.320469798657718,24,730.6666666666666,1.101507537688442,4.218962260969276,0.02250197213212907
C,1,C1,10258,a,2.5,FALSE,FALSE,NA,7,25,NA,NA,NA,NA,956.614,25,478,21.460251046025103,25,730.6666666666666,1.101507537688442,20.358743508336662,0.02128208818639144
C,2,C2,7516,a,2.5,FALSE,FALSE,NA,5,26,NA,NA,NA,NA,848.654,26,547,13.740402193784277,26,730.6666666666666,1.101507537688442,12.638894656095836,0.014892871130161215
C,3,C3,2107,a,2.5,FALSE,FALSE,NA,1,27,NA,NA,NA,NA,971.297,27,581,3.6265060240963853,27,730.6666666666666,1.101507537688442,2.5249984864079433,0.0025996152427197276
C,4,C4,1339,a,2.5,FALSE,FALSE,NA,9,28,NA,NA,NA,NA,319.988,28,590,2.269491525423729,28,730.6666666666666,1.101507537688442,1.1679839877352869,0.003650086839929269
C,5,C5,7691,a,2.5,FALSE,FALSE,NA,7,29,NA,NA,NA,NA,744.806,29,533,14.429643527204503,29,730.6666666666666,1.101507537688442,13.32813598951606,0.0178947752696891
C,6,C6,6336,a,2.5,FALSE,FALSE,NA,5,30,NA,NA,NA,NA,849.49,30,596,10.630872483221477,30,730.6666666666666,1.101507537688442,9.529364945533036,0.011217748231919194
C,7,C7,9238,a,2.5,FALSE,FALSE,NA,1,31,NA,NA,NA,NA,1116.156,31,626,14.757188498402556,31,730.6666666666666,1.101507537688442,13.655680960714115,0.012234563054549825
C,8,C8,4497,a,2.5,FALSE,FALSE,NA,9,32,NA,NA,NA,NA,380.027,32,587,7.660988074957411,32,730.6666666666666,1.101507537688442,6.559480537268969,0.017260564479021145
C,9,C9,7873,a,2.5,FALSE,FALSE,NA,7,33,NA,NA,NA,NA,595.1,33,608,12.949013157894736,33,730.6666666666666,1.101507537688442,11.847505620206295,0.019908428197288348
C,10,C10,9283,a,2.5,FALSE,FALSE,NA,5,34,NA,NA,NA,NA,1678.501,34,647,14.347758887171562,34,730.6666666666666,1.101507537688442,13.24625134948312,0.007891714898878893
C,11,C11,1877,a,2.5,FALSE,FALSE,NA,1,35,NA,NA,NA,NA,805.062,35,604,3.107615894039735,35,730.6666666666666,1.101507537688442,2.006108356351293,0.002491868149721752
C,12,C12,1777,a,2.5,FALSE,FALSE,NA,9,36,NA,NA,NA,NA,550.387,36,555,3.201801801801802,36,730.6666666666666,1.101507537688442,2.10029426411336,0.0038160317451418004
D,1,D1,1570,a,2.5,FALSE,FALSE,NA,7,37,NA,NA,NA,NA,527.424,37,573,2.7399650959860384,37,730.6666666666666,1.101507537688442,1.6384575582975964,0.003106528254871975
D,2,D2,2405,a,2.5,FALSE,FALSE,NA,5,38,NA,NA,NA,NA,455.74,38,630,3.8174603174603177,38,730.6666666666666,1.101507537688442,2.7159527797718757,0.0059594347210512036
D,3,D3,8462,a,2.5,FALSE,FALSE,NA,1,39,NA,NA,NA,NA,1076.625,39,629,13.453100158982512,39,730.6666666666666,1.101507537688442,12.35159262129407,0.011472511432758918
D,4,D4,1802,a,2.5,FALSE,FALSE,NA,9,40,NA,NA,NA,NA,591.642,40,627,2.8740031897926634,40,730.6666666666666,1.101507537688442,1.7724956521042214,0.0029958921984987903
D,5,D5,9545,a,2.5,FALSE,FALSE,NA,7,41,NA,NA,NA,NA,861.6,41,614,15.545602605863191,41,730.6666666666666,1.101507537688442,14.44409506817475,0.016764270041985548
D,6,D6,9390,a,2.5,FALSE,FALSE,NA,5,42,NA,NA,NA,NA,579.308,42,641,14.648985959438377,42,730.6666666666666,1.101507537688442,13.547478421749936,0.02338562288411335
D,7,D7,13152,a,2.5,FALSE,FALSE,NA,1,43,NA,NA,NA,NA,748.875,43,636,20.67924528301887,43,730.6666666666666,1.101507537688442,19.577737745330428,0.0261428646240433
D,8,D8,1759,a,2.5,FALSE,FALSE,NA,9,44,NA,NA,NA,NA,458.09,44,630,2.792063492063492,44,730.6666666666666,1.101507537688442,1.69055595437505,0.0036904450094414855
D,9,D9,8677,a,2.5,FALSE,FALSE,NA,7,45,NA,NA,NA,NA,985.197,45,640,13.5578125,45,730.6666666666666,1.101507537688442,12.45630496231156,0.01264346619235702
D,10,D10,11281,a,2.5,FALSE,FALSE,NA,5,46,NA,NA,NA,NA,1001.644,46,647,17.435857805255022,46,730.6666666666666,1.101507537688442,16.33435026756658,0.016307540670703943
D,11,D11,6620,a,2.5,FALSE,FALSE,NA,1,47,NA,NA,NA,NA,602.859,47,644,10.279503105590063,47,730.6666666666666,1.101507537688442,9.177995567901622,0.015224116365355119
D,12,D12,2919,a,2.5,FALSE,FALSE,NA,9,48,NA,NA,NA,NA,784.503,48,629,4.640699523052464,48,730.6666666666666,1.101507537688442,3.539191985364022,0.004511381072301855
E,1,E1,9669,a,2.5,FALSE,FALSE,NA,7,49,NA,NA,NA,NA,914.647,49,630,15.347619047619048,49,730.6666666666666,1.101507537688442,14.246111509930607,0.015575529696080134
E,2,E2,7396,a,2.5,FALSE,FALSE,NA,5,50,NA,NA,NA,NA,729.337,50,636,11.628930817610064,50,730.6666666666666,1.101507537688442,10.52742327992162,0.014434237231789448
E,3,E3,10150,a,2.5,FALSE,FALSE,NA,1,51,NA,NA,NA,NA,631.875,51,625,16.24,51,730.6666666666666,1.101507537688442,15.138492462311557,0.023958049396338766
E,4,E4,1708,a,2.5,FALSE,FALSE,NA,9,52,NA,NA,NA,NA,611.228,52,635,2.689763779527559,52,730.6666666666666,1.101507537688442,1.588256241839117,0.002598467743361098
E,5,E5,8632,a,2.5,FALSE,FALSE,NA,7,53,NA,NA,NA,NA,1083.76,53,637,13.551020408163266,53,730.6666666666666,1.101507537688442,12.449512870474823,0.011487333792052506
E,6,E6,2208,a,2.5,FALSE,FALSE,NA,5,54,NA,NA,NA,NA,1028.912,54,628,3.515923566878981,54,730.6666666666666,1.101507537688442,2.414416029190539,0.002346571941225818
E,7,E7,3016,a,2.5,FALSE,FALSE,NA,1,55,NA,NA,NA,NA,535.812,55,650,4.64,55,730.6666666666666,1.101507537688442,3.5384924623115577,0.006603981363447548
E,8,E8,2069,a,2.5,FALSE,FALSE,NA,9,56,NA,NA,NA,NA,693.62,56,644,3.2127329192546585,56,730.6666666666666,1.101507537688442,2.1112253815662165,0.0030437781228427906
E,9,E9,6598,a,2.5,FALSE,FALSE,NA,7,57,NA,NA,NA,NA,440.409,57,664,9.936746987951807,57,730.6666666666666,1.101507537688442,8.835239450263366,0.02006144163780342
E,10,E10,8673,a,2.5,FALSE,FALSE,NA,5,58,NA,NA,NA,NA,1050.694,58,678,12.79203539823009,58,730.6666666666666,1.101507537688442,11.690527860541646,0.011126481982900489
E,11,E11,11046,a,2.5,FALSE,FALSE,NA,1,59,NA,NA,NA,NA,1167.531,59,619,17.84491114701131,59,730.6666666666666,1.101507537688442,16.74340360932287,0.01434086427625722
E,12,E12,2798,a,2.5,FALSE,FALSE,NA,9,60,NA,NA,NA,NA,1064.247,60,648,4.317901234567901,60,730.6666666666666,1.101507537688442,3.216393696879459,0.0030222248189372006
F,1,F1,8564,a,2.5,FALSE,FALSE,NA,7,61,NA,NA,NA,NA,1120.343,61,626,13.680511182108626,61,730.6666666666666,1.101507537688442,12.579003644420183,0.011227814735683787
F,2,F2,11584,a,2.5,FALSE,FALSE,NA,5,62,NA,NA,NA,NA,1540.816,62,604,19.178807947019866,62,730.6666666666666,1.101507537688442,18.077300409331425,0.011732290169190496
F,3,F3,1509,a,2.5,FALSE,FALSE,NA,1,63,NA,NA,NA,NA,553.266,63,640,2.3578125,63,730.6666666666666,1.101507537688442,1.256304962311558,0.002270706969724433
F,4,F4,2163,a,2.5,FALSE,FALSE,NA,9,64,NA,NA,NA,NA,756.544,64,632,3.4224683544303796,64,730.6666666666666,1.101507537688442,2.3209608167419375,0.003067846439522272
F,5,F5,7613,a,2.5,FALSE,FALSE,NA,7,65,NA,NA,NA,NA,999.931,65,622,12.239549839228296,65,730.6666666666666,1.101507537688442,11.138042301539855,0.011138810879490538
F,6,F6,3063,a,2.5,FALSE,FALSE,NA,5,66,NA,NA,NA,NA,729.634,66,651,4.7050691244239635,66,730.6666666666666,1.101507537688442,3.6035615867355215,0.004938861931784321
F,7,F7,4655,a,2.5,FALSE,FALSE,NA,1,67,NA,NA,NA,NA,276.656,67,624,7.459935897435898,67,730.6666666666666,1.101507537688442,6.358428359747456,0.022983157277440054
F,8,F8,11339,a,2.5,FALSE,FALSE,NA,9,68,NA,NA,NA,NA,680.86,68,629,18.027027027027028,68,730.6666666666666,1.101507537688442,16.925519489338587,0.02485903047519106
F,9,F9,5731,a,2.5,FALSE,FALSE,NA,7,69,NA,NA,NA,NA,597.109,69,664,8.631024096385541,69,730.6666666666666,1.101507537688442,7.529516558697099,0.012609953222438615
F,12,F12,8632,a,2.5,FALSE,FALSE,NA,9,72,NA,NA,NA,NA,724.346,72,660,13.078787878787878,72,730.6666666666666,1.101507537688442,11.977280341099437,0.016535302660744225
G,1,G1,5937,a,2.5,FALSE,FALSE,NA,7,73,NA,NA,NA,NA,709.782,73,652,9.105828220858896,73,730.6666666666666,1.101507537688442,8.004320683170455,0.011277153665731808
G,2,G2,6911,a,2.5,FALSE,FALSE,NA,5,74,NA,NA,NA,NA,640.391,74,555,12.452252252252253,74,730.6666666666666,1.101507537688442,11.35074471456381,0.01772470992653521
G,3,G3,3977,a,2.5,FALSE,FALSE,NA,1,75,NA,NA,NA,NA,437.688,75,657,6.053272450532725,75,730.6666666666666,1.101507537688442,4.951764912844283,0.011313458246157726
G,4,G4,4656,a,2.5,FALSE,FALSE,NA,9,76,NA,NA,NA,NA,350.372,76,671,6.938897168405365,76,730.6666666666666,1.101507537688442,5.837389630716923,0.016660548304992757
G,5,G5,11046,a,2.5,FALSE,FALSE,NA,7,77,NA,NA,NA,NA,518.023,77,697,15.847919655667145,77,730.6666666666666,1.101507537688442,14.746412117978704,0.028466713095709462
G,6,G6,7409,a,2.5,FALSE,FALSE,NA,5,78,NA,NA,NA,NA,1108.121,78,666,11.124624624624625,78,730.6666666666666,1.101507537688442,10.023117086936182,0.009045146772722636
